ticker,cik
PD,0001568100
PDEX,0000788920
PDFS,0001120914
PDLB,0001874071
PDLI,
PDM,0001042776
PDYN,0001826681
PEB,0001474098
PEBK,0001093672
PEBO,0000318300
PECO,0001476204
PENG,0001616533
PESI,0000891532
PFBC,0001492165
PFIS,0001056943
PFS,0001178970
PFSI,0001745916
PGC,0001050743
PGEN,0001356090
PGNY,0001551306
PGY,0001883085
PHAT,0001783183
PHIN,0001968915
PHR,0001412408
PI,0001114995
PII,0000931015
PINE,0001786117
PIPR,0001230245
PJT,0001626115
PKBK,0001315399
PKE,0000076267
PKOH,0000076282
PKST,0001600626
PL,0001836833
PLAB,0000810136
PLAY,0001525769
PLBC,0001168455
PLMR,0001761312
PLOW,0001287213
PLPC,0000080035
PLSE,0001625101
PLTK,0001828016
PLUG,0001093691
PLUS,0001022408
PLX,0001006281
PLXS,0000785786
PMT,0001464423
PMTS,0001641614
PNBK,0001098146
PNRG,0000056868
PNTG,0001766400
POR,0000784977
POWI,0000833640
POWL,0000080420
POWW,0001015383
PPHC,0001903508
PPTA,0001526243
PRA,0001127703
PRAA,0001185348
PRAX,0001689548
PRCH,0001784535
PRCT,0001588978
PRDO,0001046568
PRG,0001808834
PRGS,0000876167
PRIM,0001361538
PRK,0000805676
PRKS,0001564902
PRLB,0001443669
PRM,0001880319
PRME,0001894562
PROP,0001162896
PRSU,0000884219
PRTA,0001559053
PRTH,0001653558
PRVA,0001759655
PSFE,0001833835
PSIX,0001137091
PSMT,0001041803
PSNL,0001527753
PSTL,0001759774
PTCT,0001070081
PTEN,0000889900
PTGX,0001377121
PTLO,0001871509
PTON,0001639825
PUBM,0001422930
PUMP,0001680247
PVLA,0001583648
PWP,0001777835
PXED,0001600222
PZZA,0000901491
QBTS,0001907982
QCRH,0000906465
QDEL,0001906324
QLYS,0001107843
QNST,0001117297
QSI,0001816431
QTRX,0001503274
QTWO,0001410384
QUAD,0001481792
QUBT,0001758009
RAMP,0000733269
RAPP,0002012593
RBB,0001499422
RBBN,0001708055
RBCAA,0000921557
RBKB,0001751783
RC,0001527590
RCAT,0000748268
RCEL,0001762303
RCKT,0001281895
RCKY,0000895456
RCMT,0000700841
RCUS,0001724521
RDN,0000890926
RDNT,0000790526
RDVT,0001720116
RDW,0001819810
REAL,0001573221
REAX,0001862461
REFI,0001867949
RELL,0000355948
RELY,0001782170
REPL,0001737953
REPX,0001001614
RES,0000742278
REX,0000744187
REZI,0001740332
RGCO,0001069533
RGNX,0001590877
RGP,0001084765
RGR,0000095029
RGTI,0001838359
RHLD,0002039497
RHP,0001040829
RICK,0000935419
RIG,0001451505
RIGL,0001034842
RIOT,0001167419
RLAY,0001812364
RLGT,0001171155
RLJ,0001511337
RM,0001519401
RMAX,0001581091
