date,ticker,open,high,low,close,volume,_errors
1998-02-11,VHI,-412.01,-414.64,-412.01,-414.64,1217,open below minimum: -412.01; high below minimum: -414.64; low below minimum: -412.01; close below minimum: -414.64
1998-02-12,VHI,-412.01,-412.01,-409.39,-409.39,6084,open below minimum: -412.01; high below minimum: -412.01; low below minimum: -409.39; close below minimum: -409.39
1998-02-13,VHI,-412.01,-412.01,-412.01,-412.01,973,open below minimum: -412.01; high below minimum: -412.01; low below minimum: -412.01; close below minimum: -412.01
1998-02-17,VHI,-409.39,-412.01,-409.39,-412.01,1339,open below minimum: -409.39; high below minimum: -412.01; low below minimum: -409.39; close below minimum: -412.01
1998-02-18,VHI,-412.01,-417.26,-409.39,-417.26,7909,open below minimum: -412.01; high below minimum: -417.26; low below minimum: -409.39; close below minimum: -417.26
1998-02-19,VHI,-414.64,-417.26,-401.51,-409.39,19713,open below minimum: -414.64; high below minimum: -417.26; low below minimum: -401.51; close below minimum: -409.39
1998-02-20,VHI,-409.39,-412.01,-409.39,-412.01,3529,open below minimum: -409.39; high below minimum: -412.01; low below minimum: -409.39; close below minimum: -412.01
1998-02-23,VHI,-414.64,-414.64,-409.39,-412.01,2738,open below minimum: -414.64; high below minimum: -414.64; low below minimum: -409.39; close below minimum: -412.01
1998-02-24,VHI,-414.64,-414.64,-409.39,-412.01,4928,open below minimum: -414.64; high below minimum: -414.64; low below minimum: -409.39; close below minimum: -412.01
1998-02-25,VHI,-414.64,-433.01,-412.01,-427.76,21903,open below minimum: -414.64; high below minimum: -433.01; low below minimum: -412.01; close below minimum: -427.76
1998-02-26,VHI,-419.88,-419.88,-409.39,-409.39,5780,open below minimum: -419.88; high below minimum: -419.88; low below minimum: -409.39; close below minimum: -409.39
