date,ticker,open,high,low,close,volume,_errors
2021-06-15,DEC,0.0,0.0,0.0,0.0,34600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-16,DEC,0.0,0.0,0.0,0.0,26200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-17,DEC,0.0,0.0,0.0,0.0,7800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-18,DEC,0.0,0.0,0.0,0.0,39900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-21,DEC,0.0,0.0,0.0,0.0,33000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-22,DEC,0.0,0.0,0.0,0.0,67100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-23,DEC,0.0,0.0,0.0,0.0,3700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-24,DEC,0.0,0.0,0.0,0.0,26900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-25,DEC,0.0,0.0,0.0,0.0,9500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-28,DEC,0.0,0.0,0.0,0.0,11900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-29,DEC,0.0,0.0,0.0,0.0,6700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-30,DEC,0.0,0.0,0.0,0.0,1100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-01,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-06,DEC,0.0,0.0,0.0,0.0,58300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-07,DEC,0.0,0.0,0.0,0.0,54400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-08,DEC,0.0,0.0,0.0,0.0,18100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-09,DEC,0.0,0.0,0.0,0.0,73100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-12,DEC,0.0,0.0,0.0,0.0,4600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-13,DEC,0.0,0.0,0.0,0.0,106500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-14,DEC,0.0,0.0,0.0,0.0,400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-15,DEC,0.0,0.0,0.0,0.0,5900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-16,DEC,0.0,0.0,0.0,0.0,7500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-19,DEC,0.0,0.0,0.0,0.0,2700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-20,DEC,0.0,0.0,0.0,0.0,21800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-21,DEC,0.0,0.0,0.0,0.0,45800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-22,DEC,0.0,0.0,0.0,0.0,2300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-26,DEC,0.0,0.0,0.0,0.0,25000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-27,DEC,0.0,0.0,0.0,0.0,8200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-28,DEC,0.0,0.0,0.0,0.0,6600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-29,DEC,0.0,0.0,0.0,0.0,2000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-07-30,DEC,0.0,0.0,0.0,0.0,14000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-03,DEC,0.0,0.0,0.0,0.0,1500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-04,DEC,0.0,0.0,0.0,0.0,2200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-05,DEC,0.0,0.0,0.0,0.0,2500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-06,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-09,DEC,0.0,0.0,0.0,0.0,22400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-12,DEC,0.0,0.0,0.0,0.0,600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-13,DEC,0.0,0.0,0.0,0.0,2800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-16,DEC,0.0,0.0,0.0,0.0,9600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-17,DEC,0.0,0.0,0.0,0.0,32100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-18,DEC,0.0,0.0,0.0,0.0,500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-20,DEC,0.0,0.0,0.0,0.0,16700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-23,DEC,0.0,0.0,0.0,0.0,7500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-24,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-25,DEC,0.0,0.0,0.0,0.0,2900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-26,DEC,0.0,0.0,0.0,0.0,2300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-27,DEC,0.0,0.0,0.0,0.0,6800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-08-31,DEC,0.0,0.0,0.0,0.0,2300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-01,DEC,0.0,0.0,0.0,0.0,500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-02,DEC,0.0,0.0,0.0,0.0,15400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-07,DEC,0.0,0.0,0.0,0.0,2600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-08,DEC,0.0,0.0,0.0,0.0,900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-09,DEC,0.0,0.0,0.0,0.0,5000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-10,DEC,0.0,0.0,0.0,0.0,8200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-13,DEC,0.0,0.0,0.0,0.0,8900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-14,DEC,0.0,0.0,0.0,0.0,200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-15,DEC,0.0,0.0,0.0,0.0,600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-17,DEC,0.0,0.0,0.0,0.0,5200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-20,DEC,0.0,0.0,0.0,0.0,1600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-21,DEC,0.0,0.0,0.0,0.0,6600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-22,DEC,0.0,0.0,0.0,0.0,200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-24,DEC,0.0,0.0,0.0,0.0,10000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-27,DEC,0.0,0.0,0.0,0.0,42200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-28,DEC,0.0,0.0,0.0,0.0,28600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-29,DEC,0.0,0.0,0.0,0.0,23400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-09-30,DEC,0.0,0.0,0.0,0.0,1400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-10-01,DEC,0.0,0.0,0.0,0.0,9800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-10-04,DEC,0.0,0.0,0.0,0.0,23900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-10-05,DEC,0.0,0.0,0.0,0.0,533000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-10-06,DEC,0.0,0.0,0.0,0.0,20900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-10-07,DEC,0.0,0.0,0.0,0.0,8200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
